PacketID,Prediction,Action
368,[0.00347816],Allowed
369,[3.343634e-06],Allowed
370,[0.00105144],Allowed
371,[0.99991876],Blocked
372,[0.00111487],Allowed
373,[0.0011897],Allowed
374,[0.00115802],Allowed
375,[0.7477681],Blocked
376,[0.6360698],Blocked
377,[0.0012156],Allowed
378,[0.0009718],Allowed
379,[0.00092979],Allowed
380,[0.9997521],Blocked
381,[0.7248823],Blocked
382,[0.00171271],Allowed
383,[0.00117795],Allowed
384,[8.336549e-06],Allowed
385,[0.8709628],Blocked
386,[0.99991965],Blocked
387,[0.00153423],Allowed
388,[2.6634476e-05],Allowed
389,[0.00285557],Allowed
390,[0.9982913],Blocked
391,[0.42994642],Allowed
392,[0.00143535],Allowed
393,[8.405349e-05],Allowed
394,[0.58865154],Blocked
395,[0.9266827],Blocked
396,[0.87280405],Blocked
397,[0.00083069],Allowed
398,[0.0043199],Allowed
399,[0.00020802],Allowed
400,[0.00880687],Allowed
401,[0.67555034],Blocked
402,[0.8852084],Blocked
403,[0.9999827],Blocked
404,[4.2164018e-05],Allowed
405,[0.01308896],Allowed
406,[0.00095694],Allowed
407,[0.9626479],Blocked
408,[0.00098248],Allowed
409,[8.061938e-12],Allowed
410,[0.9814196],Blocked
411,[0.0002888],Allowed
412,[0.00079362],Allowed
413,[0.86004657],Blocked
414,[0.5771332],Blocked
415,[0.9898355],Blocked
416,[0.00063062],Allowed
417,[0.00027704],Allowed
418,[0.9299925],Blocked
419,[0.9817603],Blocked
420,[0.00120135],Allowed
421,[1.136519e-05],Allowed
422,[0.00111977],Allowed
423,[0.704315],Blocked
424,[0.8641203],Blocked
425,[0.9133667],Blocked
426,[0.94714844],Blocked
427,[0.00127445],Allowed
428,[0.96479636],Blocked
429,[0.4599008],Allowed
430,[0.00017956],Allowed
431,[0.00013195],Allowed
432,[0.00051792],Allowed
433,[1.7580343e-10],Allowed
434,[0.97695494],Blocked
435,[0.00060035],Allowed
436,[0.9986244],Blocked
437,[0.00038506],Allowed
438,[0.00027444],Allowed
439,[0.99622756],Blocked
440,[0.2460818],Allowed
441,[0.8540398],Blocked
442,[0.9590632],Blocked
443,[0.0046709],Allowed
444,[2.2601782e-05],Allowed
445,[0.9998919],Blocked
446,[0.92826265],Blocked
447,[0.5494146],Blocked
448,[0.00088513],Allowed
449,[2.2740649e-05],Allowed
450,[2.3675323e-06],Allowed
451,[0.93835217],Blocked
452,[0.00253372],Allowed
453,[0.86135924],Blocked
454,[0.00097322],Allowed
455,[0.00978194],Allowed
456,[7.1758523e-06],Allowed
457,[0.8834415],Blocked
458,[0.00012755],Allowed
459,[0.00097373],Allowed
460,[0.41530153],Allowed
461,[0.68578184],Blocked
462,[1.3282618e-05],Allowed
463,[0.99894726],Blocked
464,[0.9058785],Blocked
465,[0.87838835],Blocked
466,[0.6346463],Blocked
467,[0.00226103],Allowed
468,[0.00628449],Allowed
469,[0.00031825],Allowed
470,[0.02447382],Allowed
471,[0.00263707],Allowed
472,[0.17908174],Allowed
473,[0.70807976],Blocked
474,[0.00021536],Allowed
475,[0.9283743],Blocked
476,[0.9961221],Blocked
477,[0.15287106],Allowed
478,[6.8236177e-06],Allowed
479,[0.9999412],Blocked
480,[0.00010853],Allowed
481,[0.00102146],Allowed
482,[0.00145705],Allowed
483,[7.39437e-05],Allowed
484,[5.980526e-13],Allowed
485,[0.9985384],Blocked
486,[0.9999963],Blocked
487,[0.00233626],Allowed
488,[0.00374345],Allowed
489,[0.00128428],Allowed
490,[0.00010919],Allowed
491,[0.63499284],Blocked
492,[0.28101394],Allowed
493,[0.90597343],Blocked
494,[1.6099044e-05],Allowed
495,[0.998563],Blocked
496,[0.9988855],Blocked
497,[0.00062431],Allowed
498,[0.00220513],Allowed
499,[0.9749774],Blocked
500,[0.9441952],Blocked
501,[0.8994914],Blocked
502,[0.99997526],Blocked
503,[0.55969274],Blocked
504,[2.6228108e-05],Allowed
505,[0.00012058],Allowed
506,[0.98086524],Blocked
507,[0.9996336],Blocked
508,[0.0009565],Allowed
509,[2.5014539e-05],Allowed
510,[2.9123657e-06],Allowed
511,[0.00022965],Allowed
512,[0.99950856],Blocked
513,[0.804772],Blocked
514,[0.9100995],Blocked
515,[0.00097924],Allowed
516,[0.9588218],Blocked
517,[0.49015346],Allowed
518,[0.0003841],Allowed
519,[0.84820855],Blocked
520,[0.92727184],Blocked
521,[0.98733246],Blocked
522,[0.0025993],Allowed
523,[0.00199657],Allowed
524,[0.00093598],Allowed
525,[0.0002237],Allowed
526,[0.00100954],Allowed
527,[0.9275683],Blocked
528,[4.337449e-06],Allowed
529,[0.00286105],Allowed
530,[2.899004e-05],Allowed
531,[0.8726081],Blocked
532,[0.00108543],Allowed
533,[0.24654609],Allowed
534,[0.00106186],Allowed
535,[0.9692199],Blocked
536,[0.6755616],Blocked
537,[7.5041994e-06],Allowed
538,[1.2915733e-05],Allowed
539,[0.43410602],Allowed
540,[0.92725015],Blocked
541,[1.2288164e-06],Allowed
542,[0.8541481],Blocked
543,[0.998119],Blocked
544,[0.14274776],Allowed
545,[0.6290768],Blocked
546,[0.0034038],Allowed
547,[0.8737451],Blocked
548,[0.9972717],Blocked
549,[0.00074095],Allowed
550,[0.00093357],Allowed
551,[0.86970687],Blocked
552,[0.00107],Allowed
553,[0.00096843],Allowed
554,[0.9269264],Blocked
555,[0.829002],Blocked
556,[0.99964756],Blocked
557,[0.96866196],Blocked
558,[0.61285675],Blocked
559,[0.00096795],Allowed
560,[0.87104267],Blocked
561,[0.80807364],Blocked
562,[0.00162581],Allowed
563,[0.9981748],Blocked
564,[0.881214],Blocked
565,[0.0003071],Allowed
566,[9.536134e-05],Allowed
567,[0.9622102],Blocked
568,[0.00013744],Allowed
569,[0.00061417],Allowed
570,[0.01786988],Allowed
571,[0.98207796],Blocked
572,[0.87886685],Blocked
573,[0.00097988],Allowed
574,[0.9112106],Blocked
575,[0.74910957],Blocked
576,[0.48148498],Allowed
577,[0.6433316],Blocked
578,[0.9999477],Blocked
579,[0.66408426],Blocked
580,[0.996138],Blocked
581,[0.00049959],Allowed
582,[0.9232714],Blocked
583,[0.00698461],Allowed
584,[0.00507389],Allowed
585,[0.00015194],Allowed
586,[0.97557515],Blocked
587,[0.8785878],Blocked
588,[1.5962585e-05],Allowed
589,[2.6742534e-06],Allowed
590,[2.2137276e-05],Allowed
591,[0.8678538],Blocked
592,[0.84140396],Blocked
593,[0.97777367],Blocked
594,[3.5581115e-06],Allowed
595,[0.7805309],Blocked
596,[0.0066735],Allowed
597,[0.00019544],Allowed
598,[2.8765724e-06],Allowed
599,[1.6071397e-06],Allowed
600,[2.2036216e-05],Allowed
601,[0.9893898],Blocked
602,[0.99860567],Blocked
603,[0.0009671],Allowed
604,[0.0009556],Allowed
605,[4.4909313e-05],Allowed
606,[0.0009869],Allowed
607,[0.96280694],Blocked
608,[0.95353925],Blocked
609,[0.9998038],Blocked
610,[0.9755503],Blocked
611,[1.0056049e-05],Allowed
612,[0.01326386],Allowed
613,[0.02616523],Allowed
614,[3.5769021e-06],Allowed
615,[0.8569234],Blocked
616,[0.00021028],Allowed
617,[0.00881682],Allowed
618,[0.77330524],Blocked
619,[0.00096649],Allowed
620,[0.00091713],Allowed
621,[0.00096877],Allowed
622,[0.9083779],Blocked
623,[0.00182015],Allowed
624,[0.00011511],Allowed
625,[0.7495813],Blocked
626,[0.000256],Allowed
627,[0.00173579],Allowed
628,[0.00119018],Allowed
629,[0.05862961],Allowed
630,[0.00094898],Allowed
631,[0.00284229],Allowed
632,[0.84867287],Blocked
633,[0.0001516],Allowed
634,[0.6273062],Blocked
635,[0.5055776],Blocked
636,[1.1883143e-05],Allowed
637,[0.8590401],Blocked
638,[0.9880761],Blocked
639,[0.00132065],Allowed
640,[0.04972574],Allowed
641,[0.23653582],Allowed
642,[0.86568165],Blocked
643,[0.00277239],Allowed
644,[0.00813744],Allowed
645,[0.999758],Blocked
646,[0.96104133],Blocked
647,[0.00093376],Allowed
648,[0.00092694],Allowed
649,[0.00050167],Allowed
650,[0.00168239],Allowed
651,[0.82192963],Blocked
652,[0.00423943],Allowed
653,[0.00287673],Allowed
654,[0.91961],Blocked
655,[0.9870256],Blocked
656,[0.00018623],Allowed
657,[0.9995497],Blocked
658,[0.9902306],Blocked
659,[0.00096384],Allowed
660,[0.00021903],Allowed
661,[0.9170907],Blocked
662,[0.00303435],Allowed
663,[0.00020516],Allowed
664,[0.87857634],Blocked
665,[0.00097007],Allowed
666,[0.83100355],Blocked
667,[0.00100356],Allowed
668,[0.00098803],Allowed
669,[0.9983876],Blocked
670,[0.99996144],Blocked
671,[0.87864196],Blocked
672,[0.9589686],Blocked
673,[0.9959443],Blocked
674,[0.9234278],Blocked
675,[0.9998517],Blocked
676,[0.00046047],Allowed
677,[0.00183175],Allowed
678,[7.604865e-05],Allowed
679,[0.00017584],Allowed
680,[0.00352749],Allowed
681,[0.00017263],Allowed
682,[0.8680896],Blocked
683,[0.63874626],Blocked
684,[0.00080539],Allowed
685,[0.99892235],Blocked
686,[0.9441118],Blocked
687,[4.7865324e-06],Allowed
688,[0.9997145],Blocked
689,[0.],Allowed
690,[0.9992053],Blocked
691,[3.6091784e-05],Allowed
692,[0.00557922],Allowed
693,[0.84073246],Blocked
694,[0.79540604],Blocked
695,[0.00155105],Allowed
696,[0.8255615],Blocked
697,[0.00361578],Allowed
698,[0.85580903],Blocked
699,[0.00024089],Allowed
700,[0.8041532],Blocked
701,[0.17381474],Allowed
702,[0.63434184],Blocked
703,[0.9273196],Blocked
704,[0.00016151],Allowed
705,[0.5225016],Blocked
706,[0.97599816],Blocked
707,[0.6989706],Blocked
708,[7.4310256e-06],Allowed
709,[0.63500446],Blocked
710,[0.6640119],Blocked
711,[0.0001867],Allowed
712,[0.98263305],Blocked
713,[3.545373e-05],Allowed
714,[0.7428813],Blocked
715,[0.8383764],Blocked
716,[0.00115968],Allowed
717,[0.999794],Blocked
718,[0.9651018],Blocked
719,[0.99998194],Blocked
720,[0.9994148],Blocked
721,[0.8934864],Blocked
722,[0.87799305],Blocked
723,[0.0001618],Allowed
724,[0.8838592],Blocked
725,[0.00090293],Allowed
726,[0.99037844],Blocked
727,[0.00016171],Allowed
728,[0.00098658],Allowed
729,[0.00098663],Allowed
730,[0.87591493],Blocked
731,[0.92786604],Blocked
732,[0.00011426],Allowed
733,[0.9491815],Blocked
734,[9.386642e-07],Allowed
735,[0.00227493],Allowed
736,[4.7023987e-06],Allowed
737,[0.00172205],Allowed
738,[0.00146922],Allowed
739,[0.99412376],Blocked
740,[0.9999896],Blocked
741,[0.00400705],Allowed
742,[0.00101142],Allowed
743,[0.00047076],Allowed
744,[0.00381868],Allowed
745,[0.00570648],Allowed
746,[0.87461525],Blocked
747,[0.00029296],Allowed
748,[0.00120767],Allowed
749,[0.99863636],Blocked
750,[0.01165917],Allowed
751,[0.00376193],Allowed
752,[0.9999066],Blocked
753,[0.88958424],Blocked
754,[6.4408127e-06],Allowed
755,[0.9986319],Blocked
756,[5.4871794e-05],Allowed
757,[0.99977314],Blocked
758,[0.00075906],Allowed
759,[0.1164005],Allowed
760,[0.00108001],Allowed
761,[0.00362833],Allowed
762,[4.5107616e-05],Allowed
763,[0.9786166],Blocked
764,[0.00011196],Allowed
765,[0.97528607],Blocked
766,[0.00250129],Allowed
767,[0.954295],Blocked
768,[0.0001426],Allowed
769,[2.436331e-05],Allowed
770,[0.75502247],Blocked
771,[0.00170586],Allowed
772,[0.0911643],Allowed
773,[0.00137743],Allowed
774,[0.00081381],Allowed
775,[0.9163777],Blocked
776,[0.00014187],Allowed
777,[0.00099248],Allowed
778,[0.6433047],Blocked
779,[0.9686827],Blocked
780,[0.00062385],Allowed
781,[0.00258012],Allowed
782,[0.9233636],Blocked
783,[0.99682534],Blocked
784,[0.8618559],Blocked
785,[0.84971976],Blocked
786,[0.99849325],Blocked
787,[0.9998528],Blocked
788,[2.420022e-05],Allowed
789,[0.66019326],Blocked
790,[0.9996691],Blocked
791,[0.9944463],Blocked
792,[0.9355479],Blocked
793,[0.00392353],Allowed
794,[0.04293529],Allowed
795,[0.00110745],Allowed
796,[0.983988],Blocked
797,[0.9991712],Blocked
798,[9.436885e-06],Allowed
799,[0.00097431],Allowed
800,[0.95993865],Blocked
801,[0.998584],Blocked
802,[0.9985551],Blocked
803,[0.01372252],Allowed
804,[1.0854967e-06],Allowed
805,[0.00196084],Allowed
806,[0.0001872],Allowed
807,[0.80733097],Blocked
808,[0.86403364],Blocked
809,[0.00423564],Allowed
810,[0.00616161],Allowed
811,[0.00060677],Allowed
812,[0.0003025],Allowed
813,[0.7078587],Blocked
814,[0.94420284],Blocked
815,[0.00021395],Allowed
816,[0.7583327],Blocked
817,[0.8595961],Blocked
818,[0.9860432],Blocked
819,[0.00136911],Allowed
820,[0.00163698],Allowed
821,[0.07550648],Allowed
822,[0.8731806],Blocked
823,[0.0010292],Allowed
824,[0.9222488],Blocked
825,[0.58718544],Blocked
826,[0.99708515],Blocked
827,[0.6932086],Blocked
828,[1.0359649e-06],Allowed
829,[0.9739711],Blocked
830,[0.9764204],Blocked
831,[0.00309819],Allowed
832,[0.9762746],Blocked
833,[0.61648744],Blocked
834,[0.00356526],Allowed
835,[0.00075452],Allowed
836,[0.9517473],Blocked
837,[0.9999915],Blocked
838,[0.8711627],Blocked
839,[0.9695481],Blocked
840,[0.98198205],Blocked
841,[0.8979271],Blocked
842,[0.8677512],Blocked
843,[0.00105854],Allowed
844,[0.99808884],Blocked
845,[0.634023],Blocked
846,[0.00043474],Allowed
847,[0.81062937],Blocked
848,[0.1395909],Allowed
849,[0.24297146],Allowed
850,[0.00057728],Allowed
851,[0.97529763],Blocked
852,[0.00019828],Allowed
853,[0.00085204],Allowed
854,[0.8577836],Blocked
855,[0.00013824],Allowed
856,[0.00010166],Allowed
857,[0.8845771],Blocked
858,[0.00085595],Allowed
859,[0.9760378],Blocked
860,[0.98680633],Blocked
861,[4.8615193e-06],Allowed
862,[0.99981713],Blocked
863,[0.9992717],Blocked
864,[0.00084175],Allowed
865,[0.00135467],Allowed
866,[0.8506349],Blocked
867,[0.00048901],Allowed
868,[0.00121553],Allowed
869,[5.916453e-06],Allowed
870,[0.8672882],Blocked
871,[0.00244831],Allowed
872,[0.0013245],Allowed
873,[0.43753743],Allowed
874,[0.99998444],Blocked
875,[0.7289122],Blocked
876,[6.8520562e-06],Allowed
877,[0.9962867],Blocked
878,[0.9423272],Blocked
879,[0.00024372],Allowed
880,[0.7476999],Blocked
881,[0.8135868],Blocked
882,[0.00103249],Allowed
883,[0.0011673],Allowed
884,[0.00099074],Allowed
885,[0.90643525],Blocked
886,[0.9937172],Blocked
887,[0.0048759],Allowed
888,[0.00011407],Allowed
889,[0.00021653],Allowed
890,[0.5962625],Blocked
891,[0.00017615],Allowed
892,[0.9868297],Blocked
893,[0.00081387],Allowed
894,[0.55221117],Blocked
895,[0.84799385],Blocked
896,[0.00098882],Allowed
897,[0.0001242],Allowed
898,[0.00095475],Allowed
899,[0.00034724],Allowed
900,[0.00099433],Allowed
901,[7.70887e-34],Allowed
902,[0.00084059],Allowed
903,[0.00136053],Allowed
904,[0.7131382],Blocked
905,[0.00253767],Allowed
906,[0.7834697],Blocked
907,[0.00061916],Allowed
908,[0.00020988],Allowed
909,[0.00497708],Allowed
910,[0.86371064],Blocked
911,[0.95594287],Blocked
912,[0.9999667],Blocked
913,[0.99888104],Blocked
914,[0.0047721],Allowed
915,[0.8112928],Blocked
916,[0.00101166],Allowed
917,[0.99999875],Blocked
918,[1.0018182e-05],Allowed
919,[0.99835044],Blocked
920,[0.0001896],Allowed
921,[0.00208067],Allowed
922,[0.00026673],Allowed
923,[0.65030974],Blocked
924,[0.6578438],Blocked
925,[3.1095213e-05],Allowed
926,[0.00101541],Allowed
927,[9.641078e-06],Allowed
928,[0.96237046],Blocked
929,[0.00025746],Allowed
930,[0.98208237],Blocked
931,[0.996234],Blocked
932,[0.11405315],Allowed
933,[0.00098887],Allowed
934,[0.87393206],Blocked
935,[0.86471325],Blocked
936,[0.98533624],Blocked
937,[0.00099907],Allowed
938,[0.9999329],Blocked
939,[1.8117665e-09],Allowed
940,[0.00093262],Allowed
941,[0.00570739],Allowed
942,[0.02374045],Allowed
943,[0.00089416],Allowed
944,[0.00054869],Allowed
945,[0.00094204],Allowed
946,[0.00101044],Allowed
947,[0.9999891],Blocked
948,[0.9697085],Blocked
949,[1.1436329e-05],Allowed
950,[0.83463615],Blocked
951,[2.289862e-05],Allowed
952,[0.00082607],Allowed
953,[0.99995106],Blocked
954,[0.00338702],Allowed
955,[0.25328928],Allowed
956,[0.0004462],Allowed
957,[0.9983624],Blocked
958,[6.5533927e-06],Allowed
959,[4.5393813e-06],Allowed
960,[0.00442931],Allowed
961,[0.00193104],Allowed
962,[0.00094603],Allowed
963,[0.9961743],Blocked
964,[0.7893224],Blocked
965,[0.9491899],Blocked
966,[0.71988446],Blocked
967,[0.96965426],Blocked
968,[0.9992981],Blocked
969,[0.9999865],Blocked
970,[0.9971026],Blocked
971,[0.99513155],Blocked
972,[0.00100106],Allowed
973,[0.00369471],Allowed
974,[0.00233177],Allowed
975,[0.00013821],Allowed
976,[0.0031002],Allowed
977,[0.7072697],Blocked
978,[0.00058112],Allowed
979,[0.00018427],Allowed
